"","ResponseId","Age","Gender","robot_type","robot_id","warmth","competence"
"79","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","9","14","26"
"80","R_2BRfEzA2V5kHF8I","17","Female","HardRobot","10","27","17"
"81","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","1","50","5"
"82","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","2","5","5"
"83","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","3","90","5"
"84","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","4","80","20"
"85","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","5","5","5"
"86","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","6","50","5"
"87","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","7","60","5"
"88","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","8","70","5"
"89","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","9","80","10"
"90","R_2TGfB7MMgW10UkY","17","Female","SoftRobot","10","30","5"
"91","R_2TGfB7MMgW10UkY","17","Female","HardRobot","1","30","71"
"92","R_2TGfB7MMgW10UkY","17","Female","HardRobot","2","5","5"
"93","R_2TGfB7MMgW10UkY","17","Female","HardRobot","3","5","5"
"94","R_2TGfB7MMgW10UkY","17","Female","HardRobot","4","5","5"
"95","R_2TGfB7MMgW10UkY","17","Female","HardRobot","5","70","50"
"96","R_2TGfB7MMgW10UkY","17","Female","HardRobot","6","5","5"
"97","R_2TGfB7MMgW10UkY","17","Female","HardRobot","7","5","5"
"98","R_2TGfB7MMgW10UkY","17","Female","HardRobot","8","30","70"
"99","R_2TGfB7MMgW10UkY","17","Female","HardRobot","9","5","5"
"100","R_2TGfB7MMgW10UkY","17","Female","HardRobot","10","5","5"
"101","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","1","0","0"
"102","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","2","60","10"
"103","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","3","90","80"
"104","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","4","8","9"
"105","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","5","35","0"
"106","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","6","10","10"
"107","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","7","4","4"
"108","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","8","30","5"
"109","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","9","60","4"
"110","R_20hgh3jc4EcpLMZ","25","Male","SoftRobot","10","0","30"
"111","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","1","60","37"
"112","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","2","0","0"
"113","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","3","40","5"
"114","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","4","5","14"
"115","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","5","10","69"
"116","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","6","0","0"
"117","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","7","14","8"
"118","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","8","0","40"
"119","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","9","7","10"
"120","R_20hgh3jc4EcpLMZ","25","Male","HardRobot","10","0","0"
"121","R_8plH47N188ekRNv","17","Female","SoftRobot","1","11","24"
"122","R_8plH47N188ekRNv","17","Female","SoftRobot","2","9","21"
"123","R_8plH47N188ekRNv","17","Female","SoftRobot","3","23","18"
"124","R_8plH47N188ekRNv","17","Female","SoftRobot","4","19","58"
"125","R_8plH47N188ekRNv","17","Female","SoftRobot","5","20","20"
"126","R_8plH47N188ekRNv","17","Female","SoftRobot","6","14","7"
"127","R_8plH47N188ekRNv","17","Female","SoftRobot","7","9","17"
"128","R_8plH47N188ekRNv","17","Female","SoftRobot","8","7","19"
"129","R_8plH47N188ekRNv","17","Female","SoftRobot","9","26","16"
"130","R_8plH47N188ekRNv","17","Female","SoftRobot","10","7","41"
"131","R_8plH47N188ekRNv","17","Female","HardRobot","1","22","26"
"132","R_8plH47N188ekRNv","17","Female","HardRobot","2","5","52"
"133","R_8plH47N188ekRNv","17","Female","HardRobot","3","40","15"
"134","R_8plH47N188ekRNv","17","Female","HardRobot","4","18","28"
"135","R_8plH47N188ekRNv","17","Female","HardRobot","5","12","57"
"136","R_8plH47N188ekRNv","17","Female","HardRobot","6","19","26"
"137","R_8plH47N188ekRNv","17","Female","HardRobot","7","36","29"
"138","R_8plH47N188ekRNv","17","Female","HardRobot","8","4","49"
"139","R_8plH47N188ekRNv","17","Female","HardRobot","9","11","27"
"140","R_8plH47N188ekRNv","17","Female","HardRobot","10","19","25"
"141","R_84eZbMeBf18I9OH","18","Female","SoftRobot","1","74","17"
"142","R_84eZbMeBf18I9OH","18","Female","SoftRobot","2","42","21"
"143","R_84eZbMeBf18I9OH","18","Female","SoftRobot","3","95","3"
"144","R_84eZbMeBf18I9OH","18","Female","SoftRobot","4","24","19"
"145","R_84eZbMeBf18I9OH","18","Female","SoftRobot","5","94","6"
"146","R_84eZbMeBf18I9OH","18","Female","SoftRobot","6","75","2"
"147","R_84eZbMeBf18I9OH","18","Female","SoftRobot","7","64","43"
"148","R_84eZbMeBf18I9OH","18","Female","SoftRobot","8","63","5"
"149","R_84eZbMeBf18I9OH","18","Female","SoftRobot","9","73","26"
"150","R_84eZbMeBf18I9OH","18","Female","SoftRobot","10","1","12"
"151","R_84eZbMeBf18I9OH","18","Female","HardRobot","1","5","58"
"152","R_84eZbMeBf18I9OH","18","Female","HardRobot","2","92","8"
"153","R_84eZbMeBf18I9OH","18","Female","HardRobot","3","73","35"
"154","R_84eZbMeBf18I9OH","18","Female","HardRobot","4","8","54"
"155","R_84eZbMeBf18I9OH","18","Female","HardRobot","5","8","86"
"156","R_84eZbMeBf18I9OH","18","Female","HardRobot","6","3","37"
"157","R_84eZbMeBf18I9OH","18","Female","HardRobot","7","56","47"
"158","R_84eZbMeBf18I9OH","18","Female","HardRobot","8","13","50"
"159","R_84eZbMeBf18I9OH","18","Female","HardRobot","9","12","43"
"160","R_84eZbMeBf18I9OH","18","Female","HardRobot","10","63","6"
"161","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","1","100","82"
"162","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","2","1","24"
"163","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","3","100","38"
"164","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","4","36","87"
"165","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","5","39","65"
"166","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","6","100","32"
"167","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","7","100","36"
"168","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","8","100","38"
"169","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","9","100","24"
"170","R_26LOsaHZ3fqiec1","18","Male","SoftRobot","10","0","0"
"171","R_26LOsaHZ3fqiec1","18","Male","HardRobot","1","26","100"
"172","R_26LOsaHZ3fqiec1","18","Male","HardRobot","2","2","78"
"173","R_26LOsaHZ3fqiec1","18","Male","HardRobot","3","0","38"
"174","R_26LOsaHZ3fqiec1","18","Male","HardRobot","4","0","94"
"175","R_26LOsaHZ3fqiec1","18","Male","HardRobot","5","0","100"
"176","R_26LOsaHZ3fqiec1","18","Male","HardRobot","6","0","59"
"177","R_26LOsaHZ3fqiec1","18","Male","HardRobot","7","4","44"
"178","R_26LOsaHZ3fqiec1","18","Male","HardRobot","8","0","100"
"179","R_26LOsaHZ3fqiec1","18","Male","HardRobot","9","0","38"
"180","R_26LOsaHZ3fqiec1","18","Male","HardRobot","10","3","76"
"181","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","1","21","21"
"182","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","2","57","34"
"183","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","3","82","47"
"184","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","4","","20"
"185","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","5","16","16"
"186","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","6","","9"
"187","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","7","12","30"
"188","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","8","20","20"
"189","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","9","85","56"
"190","R_8efh80Aw5jpbbCp","18","Male","SoftRobot","10","2","5"
"191","R_8efh80Aw5jpbbCp","18","Male","HardRobot","1","95","61"
"192","R_8efh80Aw5jpbbCp","18","Male","HardRobot","2","11","25"
"193","R_8efh80Aw5jpbbCp","18","Male","HardRobot","3","77","40"
"194","R_8efh80Aw5jpbbCp","18","Male","HardRobot","4","7","20"
"195","R_8efh80Aw5jpbbCp","18","Male","HardRobot","5","40","85"
"196","R_8efh80Aw5jpbbCp","18","Male","HardRobot","6","1","10"
"197","R_8efh80Aw5jpbbCp","18","Male","HardRobot","7","62","71"
"198","R_8efh80Aw5jpbbCp","18","Male","HardRobot","8","27","56"
"199","R_8efh80Aw5jpbbCp","18","Male","HardRobot","9","1","5"
"200","R_8efh80Aw5jpbbCp","18","Male","HardRobot","10","10","10"
"201","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","1","41","5"
"202","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","2","60","13"
"203","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","3","94","52"
"204","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","4","23","22"
"205","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","5","64","44"
"206","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","6","87","57"
"207","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","7","8","12"
"208","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","8","75","11"
"209","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","9","88","23"
"210","R_8KezLa9tN7kuMJE","17","Female","SoftRobot","10","3","39"
"211","R_8KezLa9tN7kuMJE","17","Female","HardRobot","1","13","42"
"212","R_8KezLa9tN7kuMJE","17","Female","HardRobot","2","44","77"
"213","R_8KezLa9tN7kuMJE","17","Female","HardRobot","3","34","6"
"214","R_8KezLa9tN7kuMJE","17","Female","HardRobot","4","28","48"
"215","R_8KezLa9tN7kuMJE","17","Female","HardRobot","5","24","69"
"216","R_8KezLa9tN7kuMJE","17","Female","HardRobot","6","10","10"
"217","R_8KezLa9tN7kuMJE","17","Female","HardRobot","7","26","53"
"218","R_8KezLa9tN7kuMJE","17","Female","HardRobot","8","5","77"
"219","R_8KezLa9tN7kuMJE","17","Female","HardRobot","9","24","6"
"220","R_8KezLa9tN7kuMJE","17","Female","HardRobot","10","9","47"
"221","R_2wzvg0e85td2MPn","18","Female","SoftRobot","1","53","27"
"222","R_2wzvg0e85td2MPn","18","Female","SoftRobot","2","20","5"
"223","R_2wzvg0e85td2MPn","18","Female","SoftRobot","3","100","60"
"224","R_2wzvg0e85td2MPn","18","Female","SoftRobot","4","71","23"
"225","R_2wzvg0e85td2MPn","18","Female","SoftRobot","5","30","20"
"226","R_2wzvg0e85td2MPn","18","Female","SoftRobot","6","79","43"
"227","R_2wzvg0e85td2MPn","18","Female","SoftRobot","7","78","16"
"228","R_2wzvg0e85td2MPn","18","Female","SoftRobot","8","20","10"
"229","R_2wzvg0e85td2MPn","18","Female","SoftRobot","9","65","20"
"230","R_2wzvg0e85td2MPn","18","Female","SoftRobot","10","0","6"
"231","R_2wzvg0e85td2MPn","18","Female","HardRobot","1","42","76"
"232","R_2wzvg0e85td2MPn","18","Female","HardRobot","2","75","30"
"233","R_2wzvg0e85td2MPn","18","Female","HardRobot","3","50","12"
"234","R_2wzvg0e85td2MPn","18","Female","HardRobot","4","20","21"
"235","R_2wzvg0e85td2MPn","18","Female","HardRobot","5","20","40"
"236","R_2wzvg0e85td2MPn","18","Female","HardRobot","6","5","5"
"237","R_2wzvg0e85td2MPn","18","Female","HardRobot","7","70","67"
"238","R_2wzvg0e85td2MPn","18","Female","HardRobot","8","9","40"
"239","R_2wzvg0e85td2MPn","18","Female","HardRobot","9","37","11"
"240","R_2wzvg0e85td2MPn","18","Female","HardRobot","10","5","2"
"241","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","1","54","28"
"242","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","2","58","28"
"243","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","3","80","20"
"244","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","4","58","51"
"245","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","5","61","29"
"246","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","6","65","39"
"247","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","7","53","43"
"248","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","8","58","33"
"249","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","9","70","42"
"250","R_2ByU4ZRYvkh2IDL","18","Female","SoftRobot","10","14","49"
"251","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","1","60","52"
"252","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","2","53","37"
"253","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","3","75","39"
"254","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","4","25","50"
"255","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","5","50","69"
"256","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","6","60","38"
"257","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","7","36","39"
"258","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","8","35","56"
"259","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","9","40","20"
"260","R_2ByU4ZRYvkh2IDL","18","Female","HardRobot","10","29","46"
"261","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","1","46","41"
"262","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","2","3","82"
"263","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","3","14","31"
"264","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","4","7","83"
"265","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","5","21","27"
"266","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","6","5","41"
"267","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","7","47","42"
"268","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","8","14","19"
"269","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","9","37","23"
"270","R_8HnU4SlQmX0pjhz","19","Female","SoftRobot","10","12","13"
"271","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","1","46","54"
"272","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","2","2","10"
"273","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","3","44","49"
"274","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","4","51","43"
"275","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","5","78","26"
"276","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","6","43","58"
"277","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","7","42","47"
"278","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","8","9","76"
"279","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","9","31","42"
"280","R_8HnU4SlQmX0pjhz","19","Female","HardRobot","10","13","22"
"281","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","1","9","41"
"282","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","2","7","11"
"283","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","3","100","18"
"284","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","4","4","58"
"285","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","5","100","11"
"286","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","6","72","30"
"287","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","7","16","54"
"288","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","8","6","100"
"289","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","9","64","49"
"290","R_8PzN8lHds4X1IM6","18","Female","SoftRobot","10","3","9"
"291","R_8PzN8lHds4X1IM6","18","Female","HardRobot","1","56","100"
"292","R_8PzN8lHds4X1IM6","18","Female","HardRobot","2","8","46"
"293","R_8PzN8lHds4X1IM6","18","Female","HardRobot","3","35","38"
"294","R_8PzN8lHds4X1IM6","18","Female","HardRobot","4","7","77"
"295","R_8PzN8lHds4X1IM6","18","Female","HardRobot","5","27","100"
"296","R_8PzN8lHds4X1IM6","18","Female","HardRobot","6","8","45"
"297","R_8PzN8lHds4X1IM6","18","Female","HardRobot","7","8","56"
"298","R_8PzN8lHds4X1IM6","18","Female","HardRobot","8","9","70"
"299","R_8PzN8lHds4X1IM6","18","Female","HardRobot","9","5","51"
"300","R_8PzN8lHds4X1IM6","18","Female","HardRobot","10","0","100"
"301","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","1","25","8"
"302","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","2","11","12"
"303","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","3","83","23"
"304","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","4","18","17"
"305","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","5","65","55"
"306","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","6","62","17"
"307","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","7","55","8"
"308","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","8","88","12"
"309","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","9","72","5"
"310","R_2wjetcoNRPXIVWQ","18","Female","SoftRobot","10","13","10"
"311","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","1","10","84"
"312","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","2","41","75"
"313","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","3","92","11"
"314","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","4","42","59"
"315","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","5","11","81"
"316","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","6","10","55"
"317","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","7","81","31"
"318","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","8","30","69"
"319","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","9","17","24"
"320","R_2wjetcoNRPXIVWQ","18","Female","HardRobot","10","31","57"
"321","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","1","25","60"
"322","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","2","15","30"
"323","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","3","80","30"
"324","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","4","80","70"
"325","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","5","30","30"
"326","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","6","100","70"
"327","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","7","45","30"
"328","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","8","20","35"
"329","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","9","80","25"
"330","R_8ERpbGXTE6rqN4C","18","Female","SoftRobot","10","0","60"
"331","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","1","45","50"
"332","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","2","45","30"
"333","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","3","95","50"
"334","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","4","25","55"
"335","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","5","30","50"
"336","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","6","0","30"
"337","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","7","45","50"
"338","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","8","50","65"
"339","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","9","40","40"
"340","R_8ERpbGXTE6rqN4C","18","Female","HardRobot","10","0","70"
"341","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","1","34","25"
"342","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","2","28","12"
"343","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","3","89","26"
"344","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","4","45","31"
"345","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","5","25","25"
"346","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","6","78","31"
"347","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","7","43","8"
"348","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","8","49","28"
"349","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","9","53","14"
"350","R_2X3JomWCmwVUF6F","17","Female","SoftRobot","10","5","7"
"351","R_2X3JomWCmwVUF6F","17","Female","HardRobot","1","10","44"
"352","R_2X3JomWCmwVUF6F","17","Female","HardRobot","2","53","33"
"353","R_2X3JomWCmwVUF6F","17","Female","HardRobot","3","95","7"
"354","R_2X3JomWCmwVUF6F","17","Female","HardRobot","4","40","21"
"355","R_2X3JomWCmwVUF6F","17","Female","HardRobot","5","16","79"
"356","R_2X3JomWCmwVUF6F","17","Female","HardRobot","6","26","29"
"357","R_2X3JomWCmwVUF6F","17","Female","HardRobot","7","68","25"
"358","R_2X3JomWCmwVUF6F","17","Female","HardRobot","8","28","15"
"359","R_2X3JomWCmwVUF6F","17","Female","HardRobot","9","25","24"
"360","R_2X3JomWCmwVUF6F","17","Female","HardRobot","10","7","4"
